HR	NL	SL	Positive	Negative	Anger	Anticipation	Disgust	Fear	Joy	Sadness	Surprise	Trust
smještaj	accommodatie	nastanitev	1	0	0	0	0	0	0	0	0	0
pratnja	begeleiding	spremljava	1	0	0	1	0	0	1	0	0	1
pratiti	_	spremljati	0	0	0	0	0	0	0	0	0	0
prateći	_	spremljevalen	0	0	0	0	0	0	0	0	0	0
učesnik, suučesnik	_	sokrivec	0	0	0	0	0	0	0	0	0	0
postići, ostvariti	bereiken	dokončati, doseči, opraviti	1	0	0	0	0	0	1	0	0	0
ostvaren	volbracht	izpolnjen, dosežen	1	0	0	0	0	0	1	0	0	0
postignuće	prestatie	uresničitev, dosežek	1	0	0	0	0	0	0	0	0	0
sporazum, suglasnost	overeenstemming	sporazum, dogovor	1	0	0	0	0	0	0	0	0	1
suglasnost	_	skladno	0	0	0	0	0	0	0	0	0	0
harmonika	_	harmonika	0	0	0	0	0	0	0	0	0	0
račun	account	račun	0	0	0	0	0	0	0	0	0	1
odgovornost	verantwoording	odgovornost	1	0	0	0	0	0	0	0	0	1
odgovoran	verantwoordelijk	odgovoren	1	0	0	0	0	0	0	0	0	1
računovođa	accountant	računovodja	0	0	0	0	0	0	0	0	0	1
računovodstvo	_	računovodstvo	0	0	0	0	0	0	0	0	0	0
računi	rekeningen	račun	0	0	0	0	0	0	0	0	0	1
akreditiran	geaccrediteerd	akreditiran	1	0	0	0	0	0	0	0	0	1
prirast	_	povečanje	0	0	0	0	0	0	0	0	0	0
steći, ostvariti	_	nabrati	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	NO TRANSLATION	NO TRANSLATION	1	0	0	0	0	0	0	0	0	0
akumulirati, nakupiti, skupiti	_	kopičiti	0	0	0	0	0	0	0	0	0	0
akumulacija, nakupljanje	_	kopičenje	0	0	0	0	0	0	0	0	0	0
točnost	_	natančnost	0	0	0	0	0	0	0	0	0	0
točan	accuraat, nauwkeurig	natančen	1	0	0	0	0	0	0	0	0	1
proklet, odvratan	vervloekt	preklet	0	1	1	0	0	1	0	1	0	0
optužba	beschuldiging	obtožba, obdolžitev, očitek	0	1	1	0	1	0	0	0	0	0
akuzativ	accusatief	tožilnik, akuzativ	0	1	0	0	0	0	0	0	0	0
optuženik	beschuldigde	obtoženec	0	1	1	0	0	1	0	0	0	0
tužilac	aanklager	obtoževalec	0	1	1	0	0	1	0	0	0	0
optužujući	beschuldigen, beschuldigend	obtožiti, obdolžiti	0	1	1	0	0	1	0	0	0	0
navikao	_	navajen	0	0	0	0	0	0	0	0	0	0
as	aas	as	1	0	0	0	0	0	0	0	0	0
acetatan	_	oceten	0	0	0	0	0	0	0	0	0	0
bol	pijn	bolečina	0	1	0	0	0	0	0	1	0	0
postići	bereiken	doseči	1	0	0	0	0	0	1	0	0	1
dostignuće, postignuće	prestatie	dosežek	1	0	0	1	0	0	1	0	0	1
bolan	pijnlijke	boleti, boleč	0	1	0	0	0	0	0	1	0	0
kiselina, kiseo	zuur	kislina, kisel	0	1	0	0	0	0	0	0	0	0
kiselost	_	kislost	0	0	0	0	0	0	0	0	0	0
priznati	_	priznati	0	0	0	0	0	0	0	0	0	0
priznati	_	priznan	0	0	0	0	0	0	0	0	0	0
priznanje	erkenning	priznanje, potrdilo	1	0	0	0	0	0	0	0	0	0
vrhunac	_	vrhunec	0	0	0	0	0	0	0	0	0	0
akustički	_	akustičen	0	0	0	0	0	0	0	0	0	0
akustika	_	akustika	0	0	0	0	0	0	0	0	0	0
upoznati	_	seznaniti	0	0	0	0	0	0	0	0	0	0
poznanik	_	znanec	0	0	0	0	0	0	0	0	0	0
upoznat	_	seznanjen	0	0	0	0	0	0	0	0	0	0
pristanak	_	privolitev	0	0	0	0	0	0	0	0	0	0
steći, dobiti	verkrijgen	pridobiti, usvojiti	1	0	0	0	0	0	0	0	0	0
dobivanje, stjecanje	verwerven	pridobivanje, usvajanje	1	0	0	1	0	0	0	0	0	0
akvizicija, stjecanje	_	pridobitev	0	0	0	0	0	0	0	0	0	0
akvizicije	_	prevzemi, akvizicije	0	0	0	0	0	0	0	0	0	0
površina u jutrima, površina u ralima	_	površina	0	0	0	0	0	0	0	0	0	0
jutra, rali	_	hektar	0	0	0	0	0	0	0	0	0	0
akrobat	acrobaat	akrobat	1	0	0	0	0	1	1	0	0	1
čin, djelo	_	ukrepati, dejanje	0	0	0	0	0	0	0	0	0	0
koji djeluje	_	igrati	0	0	0	0	0	0	0	0	0	0
djelovanje, akcija	actie	delovanje	1	0	0	0	0	0	0	0	0	0
utuživ	actiegericht	tožljiv	0	1	1	0	1	0	0	0	0	0
aktivan	_	aktiven	0	0	0	0	0	0	0	0	0	0
aktivnost	_	dejavnost	0	0	0	0	0	0	0	0	0	0
glumac, sudionik	_	igralec	0	0	0	0	0	0	0	0	0	0
stvaran, pravi, zbiljski, realan	werkelijk	dejanski	1	0	0	0	0	0	0	0	0	0
stvarnost, realnost	_	dejstvo	0	0	0	0	0	0	0	0	0	0
aktuar	_	aktuar	0	0	0	0	0	0	0	0	0	0
oštrina	scherpheid	ostrina	1	0	0	0	0	0	0	0	0	0
oštroumnost, pronicljivost	scherpzinnigheid	bistroumnost, daljnovidnost	1	0	0	0	0	0	0	0	0	0
akupunktura	_	akupunktura	0	0	0	0	0	0	0	0	0	0
akutno, oštro, izrazito	_	skrajen	0	0	0	0	0	0	0	0	0	0
poslovica, izreka	_	pregovor	0	0	0	0	0	0	0	0	0	0
nepopustljiv	_	nepopustljiv	0	0	0	0	0	0	0	0	0	0
prilagoditi	zich aanpassen	prilagoditi	1	0	0	0	0	0	0	0	0	0
prilagodljiv	aanpasbaar	prilagodljiv	1	0	0	0	0	0	0	0	0	0
dodati	_	dodati	0	0	0	0	0	0	0	0	0	0
dodano	_	dodan	0	0	0	0	0	0	0	0	0	0
dodatak, prilog, dopuna	_	dopolnilo	0	0	0	0	0	0	0	0	0	0
guja	adder	gad	0	1	1	0	1	1	0	1	0	0
ovisnost	verslaving	zasvojenost	0	1	0	0	0	0	0	0	0	0
dodatak	_	dodatek	0	0	0	0	0	0	0	0	0	0
dodatni	_	dodaten	0	0	0	0	0	0	0	0	0	0
aditiv, dodatak	_	dodatek	0	0	0	0	0	0	0	0	0	0
adresa, osloviti, obratiti se	_	naslov, nasloviti	0	0	0	0	0	0	0	0	0	0
adresat, primatelj	_	naslovnik	0	0	0	0	0	0	0	0	0	0
adrese	adressen	naslov, nasloviti	1	0	0	1	0	0	0	0	0	0
vješt	bedreven, vakkundig, bekwaam	spreten, izkušen	1	0	0	0	0	0	0	0	0	0
dostatnost, primjerenost	adequaatheid	zadostnost, primernost	1	0	0	0	0	0	0	0	0	0
adekvatan, dostatan, primjeren	_	primeren	0	0	0	0	0	0	0	0	0	0
prianjati, držati se	_	držati se	0	0	0	0	0	0	0	0	0	0
prianjanje, odanost, privrženost	_	oprijemanje	0	0	0	0	0	0	0	0	0	0
prianjajući, sljedbenik, pristaša	_	oprijemljiv	0	0	0	0	0	0	0	0	0	0
pridržavajući se, držeći se	zelfklevend	lepiti se, držati se	0	0	0	0	0	0	0	0	0	1
prianjanje, privrženost	_	adhezija	0	0	0	0	0	0	0	0	0	0
adheziv, ljepilo	_	lepljiv, lepilo	0	0	0	0	0	0	0	0	0	0
zbogom	_	zbogom	0	0	0	0	0	0	0	0	0	0
mastan	adipeus	maščoba, maščevje	0	1	0	0	0	0	0	0	0	0
susjedstvo	_	sosedstvo	0	0	0	0	0	0	0	0	0	0
susjedan	_	bližnji, soseden	0	0	0	0	0	0	0	0	0	0
pridjev	_	pridevnik	0	0	0	0	0	0	0	0	0	0
susjedan, graničan	_	sosednji	0	0	0	0	0	0	0	0	0	0
odgoditi	_	prekiniti	0	0	0	0	0	0	0	0	0	0
odlaganje, odgađanje	_	prekinitev	0	0	0	0	0	0	0	0	0	0
presuditi	berechten	razsoditi	0	1	0	0	0	1	0	0	0	0
presuda	_	presoja	0	0	0	0	0	0	0	0	0	0
dodatak	adjunct	dodatek	1	0	0	0	0	0	0	0	0	0
prilagoditi	_	popraviti, prilagoditi	0	0	0	0	0	0	0	0	0	0
podešavanje, prilagodba, usuglašavanje, usklađivanje	_	prilagoditev	0	0	0	0	0	0	0	0	0	0
katalizator	_	adjuvant	0	0	0	0	0	0	0	0	0	0
primijeniti, provesti	_	upravljati	0	0	0	0	0	0	0	0	0	0
uprava, administracija	_	uprava	0	0	0	0	0	0	0	0	0	0
upravni, administrativni	administratief	upraven, administrativen	0	0	0	0	0	0	0	0	0	1
hvale vrijedan	bewonderenswaardig	odličen, občudovanja vreden	1	0	0	0	0	0	1	0	0	1
admiral	admiraal	admiral	1	0	0	0	0	0	0	0	0	1
admiralitet	_	admiraliteta	0	0	0	0	0	0	0	0	0	0
divljenje	bewondering	občudovanje	1	0	0	0	0	0	1	0	0	1
diviti se	bewonderen	občudovati	1	0	0	0	0	0	0	0	0	1
obožavatelj	bewonderaar	občudovalec	1	0	0	0	0	0	0	0	0	0
dopuštenost, prihvatljivost	_	dopustnost	0	0	0	0	0	0	0	0	0	0
dopustiv, prihvatljiv	toelaatbaar	dopusten	1	0	0	0	0	0	0	0	0	1
ulaz, pristup	_	vstop	0	0	0	0	0	0	0	0	0	0
priznati	_	priznati	0	0	0	0	0	0	0	0	0	0
pravo pristupa, dopuštanje	_	sprejem	0	0	0	0	0	0	0	0	0	0
dopušten	_	sprejet	0	0	0	0	0	0	0	0	0	0
priznajući, dopuštajući	_	priznati	0	0	0	0	0	0	0	0	0	0
primjesa, dodatak	_	dodatek	0	0	0	0	0	0	0	0	0	0
opomena, upozorenje	vermaning	opomin	0	1	0	0	0	1	0	0	0	0
trud	_	trud	0	0	0	0	0	0	0	0	0	0
nepečena cigla, nepečena opeka, ćerpič	_	NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
mladost, adolescencija	_	mladostništvo, adolescenca	0	0	0	0	0	0	0	0	0	0
adolescent, tinejdžer	_	mladostnik	0	0	0	0	0	0	0	0	0	0
posvojiti, usvojiti	_	posvojiti	0	0	0	0	0	0	0	0	0	0
posvajanje, usvajanje	_	posvojitev	0	0	0	0	0	0	0	0	0	0
divan, ljubak	liefelijk	očarljiv	1	0	0	0	0	0	1	0	0	0
obožavanje, divljenje	aanbidding	oboževanje	1	0	0	0	0	0	1	0	0	1
obožavati	dol zijn op	oboževati	1	0	0	1	0	0	1	0	0	1
krasiti, ukrasiti	_	krasiti	0	0	0	0	0	0	0	0	0	0
ukras	_	okras	0	0	0	0	0	0	0	0	0	0
zalutao, prepušten sam sebi	drijvend	zmeden	0	1	0	1	0	1	0	1	0	0
odrasla osoba	_	odrasel	0	0	0	0	0	0	0	0	0	0
izvrnut, iskrivljen	vervalst	pokvarjen, ponarejen	0	1	0	0	0	0	0	0	0	0
preljubništvo, preljub	overspel	prešuštvo	0	1	0	0	1	0	0	1	0	0
napredovati, unaprijediti, poboljšati	van te voren, vooruitgaan	napredovati, pospešiti, napredovanje, predhoden	1	0	0	1	0	1	1	0	1	0
napredan	gevorderd	napreden	1	0	0	0	0	0	0	0	0	0
napredak	vordering	napredovanje	1	0	0	0	0	0	0	0	0	0
napredujući	_	napredovanje	0	0	0	0	0	0	0	0	0	0
prednost, blagodat, korist	voordeel	prednost	1	0	0	0	0	0	0	0	0	0
povoljan, koristan	voordelig	ugoden	1	0	0	0	0	0	0	0	0	0
dolazak, pojava	komst, advent	prihod	1	0	0	1	0	0	1	0	0	1
avantura, pustolovina	avontuur	pustolovščina	1	0	0	1	0	0	0	0	0	0
pustolov, avanturist	_	pustolovec	0	0	0	0	0	0	0	0	0	0
pustolovan	avontuurlijk	pustolovski	1	0	0	0	0	0	0	0	0	0
protivnik, suparnik	tegenstander	nasprotnik	0	1	1	0	0	0	0	0	0	0
štetan, nepovoljan, protivnički	nadelige	nasproten	0	1	1	0	1	1	0	1	0	0
nedaća, nevolja	tegenslag	nesreča	0	1	1	0	0	1	0	1	0	0
oglašavati, reklamirati	_	oglaševati	0	0	0	0	0	0	0	0	0	0
oglas, reklama	_	oglas, oglaševanje	0	0	0	0	0	0	0	0	0	0
savjet	advies, raad	nasvet	0	0	0	0	0	0	0	0	0	1
preporučljiv	raadzaam	priporočljiv	1	0	0	0	0	0	0	0	0	1
savjetovati	adviseren, raad geven	svetovati	1	0	0	0	0	0	0	0	0	1
savjetovan	adviseerde	informiran	0	0	0	0	0	0	0	0	0	1
razmatranje	_	svetovanje	0	0	0	0	0	0	0	0	0	0
savjetnik	raadgever	svetovalec	1	0	0	0	0	0	0	0	0	1
zagovaranje, propagiranje	voorspraak, verdediging, pleit	zagovarjanje	1	0	1	1	0	0	1	0	0	1
pristalica, pobornik, zagovornik	pleiten voor	zagovarjati	0	0	0	0	0	0	0	0	0	1
okrilje	_	patronat	0	0	0	0	0	0	0	0	0	0
ventilacija, prozračivanje	_	prezračevanje	0	0	0	0	0	0	0	0	0	0
zračni	_	zračen, letalski	0	0	0	0	0	0	0	0	0	0
aerodrom, zrakoplovna luka	_	letališče	0	0	0	0	0	0	0	0	0	0
aerodinamika	_	aerodinamika	0	0	0	0	0	0	0	0	0	0
aeronautika	_	aeronavtika	0	0	0	0	0	0	0	0	0	0
zrakoplov, avion	_	letalo	0	0	0	0	0	0	0	0	0	0
estetski	esthetisch	estetski	1	0	0	0	0	0	0	0	0	0
estetika	schoonheidsleer, esthetiek, esthetica	estetika	1	0	0	0	0	0	1	0	0	0
etiologija	_	etiologija	0	0	0	0	0	0	0	0	0	0
izdaleka, nadaleko	_	daleč	0	0	0	0	0	0	0	0	0	0
ljubazan	minzaam	prijazen	1	0	0	0	0	0	0	0	0	0
posao	_	zadeva, afera	0	0	0	0	0	0	0	0	0	0
koji utječe	_	vplivati	0	0	0	0	0	0	0	0	0	0
ljubav, naklonost, sklonost, privrženost	genegenheid, afffectie 	naklonjenost, ljubezen	1	0	0	0	0	0	1	0	0	1
sklonosti	_	naklonjenost	0	0	0	0	0	0	0	0	0	0
poster	_	NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
pismena izjava, izjava pod zakletvom	_	zaprisežena pisna izjava	0	0	0	0	0	0	0	0	0	0
povezan, udružen	aangesloten, verbonden	podružen	1	0	0	0	0	0	0	0	0	0
pripadanje, pripadnost	_	pripadnost	0	0	0	0	0	0	0	0	0	0
sklonost, afinitet	_	naklonjenost	0	0	0	0	0	0	0	0	0	0
potvrditi	bevestigen	potrditi	1	0	0	0	0	0	0	0	0	1
potvrđivanje, potvrda	bevestiging	potrditev	1	0	0	0	0	0	0	0	0	0
potvrdan	bevestigend	pritrdilen	1	0	0	0	0	0	0	0	0	0
potvrdno	bevestigend	pritrdilno	1	0	0	0	0	0	0	0	0	1
pričvrstiti, pripojiti	_	pritrditi	0	0	0	0	0	0	0	0	0	0
povrijediti, pogoditi	teisteren, treffen	mučiti, prizadeti	0	1	0	0	0	1	0	1	0	0
pogođen, zahvaćen	geteisterd, getroffen	prizadet	0	1	0	0	0	0	0	0	0	0
nesreća, nevolja, bol	aandoening, kwelling	stiska	0	1	0	0	1	1	0	1	0	0
obilje, bogatstvo, izobilje	rijkdom	blaginja	1	0	0	0	0	0	1	0	0	0
bogat, imućan	in rijkdom	premožen	1	0	0	0	0	0	0	0	0	0
priuštiti	veroorloven	privoščiti si	1	0	0	0	0	0	0	0	0	0
uvreda	belediging, beledigen	žalitev, žaliti, izzivanje, izzivati	0	1	1	0	1	1	0	1	1	0
udaljen	_	oddaljen	0	0	0	0	0	0	0	0	0	0
naprijed, prednji, prethodni	_	prej	0	0	0	0	0	0	0	0	0	0
ranije spomenuti, gore spomenut, gore naveden, ranije naveden	_	prej omenjen	0	0	0	0	0	0	0	0	0	0
ranije spomenuti, gore spomenut, gore naveden, ranije naveden	_	prej omenjen	0	0	0	0	0	0	0	0	0	0
uplašen	bang	prestrašen	0	1	0	0	0	1	0	0	0	0
iznova, nanovo	_	znova	0	0	0	0	0	0	0	0	0	0
straga, stražnji	_	zadaj	0	0	0	0	0	0	0	0	0	0
posljedica	nasleep	posledica	0	1	1	0	1	1	0	1	0	0
poslijepodne, popodne	_	popoldne	0	0	0	0	0	0	0	0	0	0
zaostali ukus u ustima	nasmaak	priokus	0	1	0	0	0	0	0	0	0	0
usputna misao, primisao	_	naknadna misel	0	0	0	0	0	0	0	0	0	0
aga	NO TRANSLATION	aga	1	0	0	0	0	1	0	0	0	1
ahat	_	ahat	0	0	0	0	0	0	0	0	0	0
dob, vijek, era, razdoblje	_	starost, doba era, epoha	0	0	0	0	0	0	0	0	0	0
star	_	postaran, star	0	0	0	0	0	0	0	0	0	0
agencija, posredstvo	_	agencija	0	0	0	0	0	0	0	0	0	0
agent, izvršitelj	_	agent	0	0	0	0	0	0	0	0	0	0
aglomeracija, nagomilavanje	_	aglomeracija	0	0	0	0	0	0	0	0	0	0
pogoršan	geërgerd	poslabšan	0	1	1	0	0	0	0	0	0	0
otegotan, pogoršavajući	verzwarend, belastend	zoprn, slabšati	0	1	1	0	0	0	0	1	0	0
pogoršanje, izazivanje	verergering	poslabšanje	0	1	1	0	1	0	0	0	0	0
skupina, skup, agregat, ukupan, sveukupan	_	agregat	0	0	0	0	0	0	0	0	0	0
agregacija, skupljanje, akumuliranje	_	združevanje	0	0	0	0	0	0	0	0	0	0
agresija, napad, nasrtaj	agressie	nasilje, napad	0	1	1	0	0	1	0	0	0	0
agresivan, napadan, nasrtljiv	agressief	napadalen, nasilen	0	1	1	0	0	1	0	0	0	0
agresor, napadač	agressor	napadalec	0	1	1	0	0	1	0	0	0	0
prestravljen, užasnut	ontzet	osupel, zgrožen	0	1	0	0	1	1	0	0	1	0
okretan, agilan, spretan	behendig	spreten	1	0	0	0	0	0	0	0	0	0
agilnost, okretnost, spretnost	behendigheid	okretnost	1	0	0	0	0	0	0	0	0	0
uzrujan, nemiran, živčan, uznemiren	opgewonden, onrustig	vznemirjen	0	1	1	0	0	0	0	0	0	0
agitacija, uznemirenost, uzrujanost	agitatie, onrust	vznemirjenost	0	1	1	0	0	0	0	0	0	0
agnostik, agnostički	_	agnostik	0	0	0	0	0	0	0	0	0	0
prije	_	daven	0	0	0	0	0	0	0	0	0	0
bolan, mučan, nesnosan	pijnlijke	mučen, neznosen	0	1	0	0	0	1	0	0	0	0
agonija, patnja, muka	doodsangst	agonija	0	1	1	0	0	1	0	1	0	0
složiti se	mee eens	strinjati se	1	0	0	0	0	0	0	0	0	0
prijatan, ugodan	aangenaam	prijeten	1	0	0	0	0	0	0	0	0	1
dogovoren	akkoord	dogovorjen	1	0	0	0	0	0	0	0	0	1
slažući se	akkoord gaan	strinjati se	1	0	0	0	0	0	0	0	0	1
sporazum, dogovor, slaganje	overeenkomst	sporazum	1	0	0	0	0	0	0	0	0	1
poljoprivredni, poljodjelski, zemljoradnički, agrikulturni, ratarski, 	_	kmetijski	0	0	0	0	0	0	0	0	0	0
poljoprivreda, poljodjelstvo, ratarstvo, agrikultura	landbouw	kmetijstvo	1	0	0	0	0	0	0	0	0	0
nasukan	aan de grond	ozemljen	0	1	0	0	0	0	0	0	0	0
NO TRANSLATION	_	NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
naprijed, ispred, predstojeći	verder	naprej	1	0	0	0	0	0	0	0	0	0
pomoć	steun	pomoč	1	0	0	0	0	0	0	0	0	0
pomaganje, pomažući	helpen	pomagati	1	0	0	0	0	0	0	0	0	0
tištati, zadati bol	pijn doen, hinderen	pestiti	0	1	0	0	0	0	0	1	0	0
bolan	ziekelijk, pijnlijk, hinderend	šibek	0	1	0	0	0	1	0	1	0	0
oboljenje, bolest, tegoba, boljka	_	tegoba	0	0	0	0	0	0	0	0	0	0
cilj, ciljati, svrha, namjera, namjeravati	_	nameriti, cilj	0	0	0	0	0	0	0	0	0	0
besciljan	doelloos	brezciljen	0	1	0	0	0	0	0	0	0	0
zrak	_	zrak	0	0	0	0	0	0	0	0	0	0
zračni jastuk	_	airbag	0	0	0	0	0	0	0	0	0	0
zračni most	_	zračni promet	0	0	0	0	0	0	0	0	0	0
aviokompanija, zračni prijevoznik, zrakoplovna kompanija 	_	letalska družba	0	0	0	0	0	0	0	0	0	0
pilot, avijatičar, zrakoplovac	_	letalec	0	0	0	0	0	0	0	0	0	0
